time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-02-10 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-02-10 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,144.6325,442,0.0
2021-02-24 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-02-24 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,141.2275,447,0.0
2021-02-26 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-02-26 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,137.525,458,0.0
2021-03-08 11:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-03-08 11:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,121.5153,485,0.0
2021-03-16 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-16 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,133.565,444,0.0
2021-03-18 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-03-18 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,131.365,448,0.0
2021-03-19 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-19 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,127.5,461,0.0
2021-03-22 10:00:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-03-22 10:00:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,129.975,456,0.0
2021-03-23 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-23 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,132.5425,448,0.0
2021-03-29 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-03-29 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,128.2025,455,0.0
2021-03-30 10:00:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-30 10:00:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,127.8125,457,0.0
2021-03-31 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-03-31 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,130.155,453,0.0
2021-04-09 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-04-09 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,142.14,417,0.0
2021-04-20 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-04-20 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,153.2325,402,0.0
2021-06-03 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-06-03 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,167.0075,372,0.0
2021-07-28 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-28 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,193.192,349,0.0
2021-07-29 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-07-29 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,195.19,346,0.0
2021-08-06 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-08-06 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,205.24,339,0.0
2021-09-23 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-09-23 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,221.4,318,0.0
2021-09-27 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-09-27 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,217.1035,326,0.0
2021-10-11 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-10-11 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,205.75,341,0.0
2021-10-15 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-10-15 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,218.1,333,0.0
2021-11-03 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2021-11-03 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,266.7,283,0.0
2021-11-29 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-11-29 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,323.66,220,0.0
2021-12-29 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-12-29 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,302.725,234,0.0
2022-01-05 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
